scenario_id,configuration,violation_type,source,difficulty,expansion_mode,exec,trig,rem,c_road,c_env,c_role,c_lane,c_action,c_auto,c_noctrl,c_context,ms
NHTSA_FTY_0292,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0165,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0080,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0115,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0153,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0477,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0293,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_FTY_0111,Full RKGRScen,Failure to yield,synthetic-topology-extension,fine,normal,1,1,0,0,0,0,0,0,1,1,1,0.26
NHTSA_FTY_0460,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0412,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0419,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0495,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0499,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0451,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0082,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
SYNTH_FTY_0066,Full RKGRScen,Failure to yield,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_FTY_0004,Full RKGRScen,Failure to yield,synthetic-topology-extension,fine,fallback,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0501,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0062,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0047,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0446,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0350,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,0,0,0,0,0,0,1,0,1,0.16
SYNTH_FTY_0126,Full RKGRScen,Failure to yield,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0179,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
SYNTH_FTY_0052,Full RKGRScen,Failure to yield,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0388,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0001,Full RKGRScen,Failure to yield,NHTSA-derived,fine,normal,0,0,1,,,,,,,,,
NHTSA_FTY_0164,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0205,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0443,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0009,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0354,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0458,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0399,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,0,1,1,1,0,1,0,1,1,1,0.7200000000000001
NHTSA_FTY_0061,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,0,1,0,0,1,0,1,1,1,0.62
NHTSA_FTY_0358,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,0,1,1,0,0,1,0,1,1,1,0.62
NHTSA_FTY_0110,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0442,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,fallback,1,0,1,0,1,1,0,1,1,1,1,0.64
NHTSA_FTY_0476,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_FTY_0015,Full RKGRScen,Failure to yield,synthetic-topology-extension,fine,normal,0,0,1,,,,,,,,,
NHTSA_FTY_0254,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
NHTSA_FTY_0098,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_FTY_0060,Full RKGRScen,Failure to yield,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0037,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,0,0,0,0,0,0,0,1,0,0,0.12
NHTSA_FTY_0329,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0136,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0318,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0036,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0193,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0390,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
SYNTH_FTY_0054,Full RKGRScen,Failure to yield,synthetic-topology-extension,fine,normal,0,0,1,,,,,,,,,
NHTSA_FTY_0226,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_SPD_0006,Full RKGRScen,Speeding,synthetic-topology-extension,fine,normal,0,0,1,,,,,,,,,
NHTSA_SPD_0067,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0324,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0319,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0212,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,0,0,0,0,0,0,1,1,1,0.26
NHTSA_SPD_0246,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0315,Full RKGRScen,Speeding,NHTSA-derived,coarse,fallback,0,0,1,,,,,,,,,
NHTSA_SPD_0203,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,0,0,0,0,0,0,1,0,0,0.12
SYNTH_SPD_0029,Full RKGRScen,Speeding,synthetic-topology-extension,fine,normal,1,1,0,0,0,0,0,0,1,1,1,0.26
NHTSA_SPD_0183,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0200,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0110,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0048,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0299,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
NHTSA_SPD_0327,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0308,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
SYNTH_SPD_0081,Full RKGRScen,Speeding,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0012,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
SYNTH_SPD_0036,Full RKGRScen,Speeding,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0105,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0318,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0155,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0337,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,0,0,0,0,0,0,1,1,1,0.26
SYNTH_SPD_0032,Full RKGRScen,Speeding,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0094,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0030,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
SYNTH_SPD_0014,Full RKGRScen,Speeding,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_SPD_0027,Full RKGRScen,Speeding,synthetic-topology-extension,fine,fallback,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0020,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_SPD_0055,Full RKGRScen,Speeding,synthetic-topology-extension,fine,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0024,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_SPD_0025,Full RKGRScen,Speeding,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0019,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
NHTSA_SPD_0151,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
NHTSA_SPD_0054,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0006,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
